title,c
multi ethnic study of atherosclerosis,15
canadian study of health and aging,15
european male aging study,15
einstein aging study,15
agricultural resource management survey data,15
agricultural resource management survey phase,15
medical expenditure panel survey,15
farm and ranch irrigation survey,15
longitudinal study of american youth,14
australian imaging biomarkers and lifestyle flagship study of ageing,14
study of health in pomerania,14
bogalusa heart study,14
agricultural and resource management survey,14
soil survey geographic database,14
early childhood longitudinal study birth,14
first international mathematics study,14
national science foundation s survey of doctorate recipients,14
business research and development and innovation survey,14
national science foundation division of science resources statistics survey of earned doctorates,14
national child development study,13
health professionals follow up study,13
bronx aging study,13
religious order study,13
soil survey geographic,13
education national center for education statistics schools and staffing survey,13
north american prodrome longitudinal study,13
global fire emissions database,13
integrated postsecondary education data system data,13
national pupil database,12
longitudinal study of australian children,12
berlin aging study,12
gene environment susceptibility reykjavik study,12
consumer expenditure survey,12
soil survey staff,12
labour force survey,12
atherosclerosis risk in communities study,12
indiana memory and aging study,12
recent college graduates survey,12
integrated postsecondary education data system data quality study,12
adult education survey,12
school readiness survey,12
american competitive initiative,12
british household panel survey,11
rotterdam scan study,11
coronary artery risk development in young adults study,11
baltimore longitudinal study of aging data,11
cache county study,11
avon longitudinal study of parents and children,11
beginning postsecondary student survey,11
molecular signatures database,11
reading literacy study,11
world ocean database boyer,11
public library survey,11
computer assisted survey execution system,11
adult education and lifelong learning survey,11
national adult literacy study,11
beginning postsecondary study,11
young adult literacy survey,11
school crime supplement to the national crime victimization survey,11
june area survey,11
wisconsin longitudinal study,10
bureau s american community survey,10
national survey of postsecondary faculty,10
common core data,10
international neuroimaging data sharing initiative,10
epidemiology of hearing loss study,10
normative aging study,10
continuing survey of food intakes,10
three city study,10
early childhood longitudinal study data,10
australian imaging biomarker lifestyle flagship study of ageing,10
citizenship education longitudinal study,10
beginning postsecondary longitudinal study,10
education national center for education statistics national teacher and principal survey,10
second follow up transcript survey,10
national agricultural workers survey,10
national longitudinal survey of freshmen,9
national longitudinal transition study of special education students,9
educational longitudinal survey,9
compact hydrographic airborne rapid total survey,9
soil survey geographic data,9
national health and nutritional examination survey,9
rancho bernardo study,9
australian imaging biomarkers and lifestyle study of ageing,9
boston area community health survey,9
iowa women s health study,9
agriculture s agricultural resource management survey,9
organic production survey,9
survey of earned doctorates data,9
fall staff survey,9
national research council survey of earned doctorates,9
beaver dam eye study,9
aging demographics and memory study,9
national comorbidity survey,9
study of early child care,9
human protein reference database,9
australian imaging biomarkers and lifestyle study of aging,9
database for annotation visualization and integrated discovery,9
study of normal brain development,9
community innovation survey,9
joint global ocean flux study,9
national assessment of adult literacy survey,9
public libraries survey data,9
adult civic involvement survey,9
s may be obtained from an important component of the schools and staffing survey,9
survey of doctorate recipients data,9
quality of education data,9
private school sample survey,9
high school tianscript study,9
federal libraries and information centers survey,9
commodity flow survey,9
humanities departmental survey,9
agricultural economics and land ownership survey,9
coronaviridae study group of the international committee on taxonomy of viruses,9
immune epitope database,9
national education longitudinal study data,8
base year survey,8
national longitudinal study of adolescent to adult health add health,8
base year ineligibles study,8
national survey of families and households,8
american community survey data,8
trends in international mathematics and science study data,8
north atlantic coast comprehensive study,8
australian imaging biomarkers and lifestyle flagship study of aging,8
aerobics center longitudinal study,8
modification of diet in renal disease study,8
insulin resistance atherosclerosis study,8
honolulu heart study,8
ginkgo evaluation of memory study,8
australian imaging biomarker and lifestyle study of ageing,8
human metabolome database,8
genome aggregation database,8
baccalaureate and beyond survey,8
beginning postsecondary students longitudinal study data,8
integrated surface database,8
school and staffing survey,8
adult literacy and lifeskills survey,8
survey of graduate student support and postdoctorates in science and engineering,8
adult changes in thought study,8
october current population survey,8
beginning school study,8
flagship study of ageing,8
alzheimer s disease neuroimaging initiative,8
queensland twin imaging study,8
sloan digital sky survey,8
australian imaging biomarker and lifestyle flagship study of ageing,8
national cancer database,8
fourth follow up postsecondary education transcript study,8
education longitudinal survey,8
education national center for education statistics education longitudinal study,8
survey postsecondary education,8
methodology report for the national postsecondary student aid study,8
national elevation data,8
children of the national longitudinal survey of youth,7
national longitudinal survey of adolescent health,7
october supplement to the current population survey,7
national transition study,7
community college survey of student engagement,7
adolescent health and academic achievement study,7
protected areas database,7
study of women s health across the nation,7
korean longitudinal study on health and aging,7
medical outcomes study,7
baltimore longitudinal study of aging shock,7
participants in the baltimore longitudinal study of aging,7
women s health study,7
uppsala longitudinal study of adult,7
guilford zimmerman temperament survey,7
office of coast survey,7
coast and geodetic survey,7
school health policies and programs study,7
national survey of student engagement,7
agricultural resource management study,7
agricultural resource and management survey,7
local food marketing practices survey,7
maastricht aging study,7
alzheimer s disease cooperative study activities of daily living,7
family and child experiences survey,7
nutrition environment measures survey,7
second international science study,7
trends in mathematics and science study,7
australian imaging biomarker lifestyle flagship study of aging,7
cache county study on memory health and aging,7
voxelwise genome wide association study,7
watershed boundary dataset,7
national cooperative soil survey,7
featured topic national education longitudinal study,7
commerce bureau of the census current population survey,7
fall enrollment survey,7
computer access and familiarity study,7
second follow up student survey,7
international survey of doctorate recipients,7
longitudinal establishment data,7
national survey of children,6
third international mathematics and science survey,6
high school and beyond and the national longitudinal study of the high,6
british cohort study,6
panel study of income dynamics child development supplement,6
child development supplement of the panel study of income dynamics,6
national longitudinal survey of the high school class,6
international neuroimaging datasharing initiative,6
pediatric imaging neurocognition and genetics study,6
blue mountains eye study,6
women s health initiative study,6
copenhagen city heart study,6
leisure world cohort study,6
adult children study,6
osteoporotic fractures in men study,6
national institute on aging baltimore longitudinal study of aging,6
longitudinal aging study amsterdam,6
institute for survey research,6
sea surface temperature data,6
survey of earned doctorates national science foundation,6
study of osteoporotic fractures,6
early childhood longitudinal survey birth cohort,6
national immunization survey,6
first international science study,6
alzheimer disease cooperative study preclinical alzheimer cognitive composite,6
alzheimer disease frontotemporal dementia mutation database,6
human imaging database,6
sydney memory and ageing study,6
trends in international mathematics and science study survey,6
progress in international reading and literacy study,6
archiving validation and interpretation of satellite oceanographic data,6
school courses for the exchange of data,6
global ocean surface underway data,6
ocean station data,6
common core of data survey,6
first followup of the beginning postsecondary students longitudinal study,6
third follow up of the national education longitudinal study,6
financial aid feasibility study,6
elementary middle school transition study,6
postsecondary students longitudinal study first follow,6
study first follow,6
national study of faculty and students,6
update and high school transcript study,6
school district financial survey form,6
survey of federal science and engineering support to universities colleges and nonprofit,6
definite postdoctoral study,6
s may be obtained from another component of the schools and staffing survey,6
survey of doctorate recipients table,6
followback study of excluded students,6
survey management system,6
education national center for education statistics high school and beyond longitudinal study,6
high school transcript study national education longitudinal study,6
first follow up high school transcript study,6
current population survey data,6
survey of graduate students and postdoctorates,6
linked to survey of doctorate recipients,6
agriculture resource management survey,6
coronavirus study group,6
nation s report card the national longitudinal study,5
institute for the study of labor,5
beginning postsecondary students longitudinal survey,5
national institute of child health and human development study of early child,5
national household survey on drug abuse,5
national digital forecast database,5
june agricultural survey,5
international archive of education data,5
english longitudinal study of ageing,5
epidemiologic follow up study,5
antonio heart study,5
paris prospective study,5
aging and body composition study,5
long life family study,5
longitudinal cognitive impairment and dementia study,5
cancer prevention study,5
victoria longitudinal study,5
wave information study,5
anti amyloid treatment in asymptomatic alzheimer s study,5
california health interview survey,5
survey of consumer finance,5
college senior survey,5
department of agriculture s agricultural resource management survey,5
farm financial survey,5
atlantic hurricane database,5
school district finance survey,5
survey of adult skills,5
longitudinal study of astronomy graduate students,5
italian longitudinal study on aging,5
prospective study of pravastatin in the elderly,5
finnish geriatric intervention study to prevent cognitive impairment and disability,5
national institute on aging late onset alzheimer s disease family study,5
study of early childcare and youth development,5
childhood longitudinal study birth cohort,5
children of immigrants longitudinal study,5
feeding infants and toddlers study,5
longitudinal study of young people in england,5
fragile families and child well being study,5
special education elementary longitudinal study,5
youth risk behavior surveillance survey,5
national research council study,5
national bioscience database center,5
three city dijon study,5
religious orders study and memory and aging project,5
alzheimer s disease neuroimaging study,5
framingham heart study and boston university alzheimer s disease center veterans administration,5
religious orders study and the rush memory and aging project,5
parkinson s progression markers initiative,5
international nucleotide sequence database collaboration,5
canadian longitudinal study on aging,5
progress in reading literacy study,5
civic education study,5
international database analyzer,5
teacher education and development study in mathematics,5
labor force survey,5
international comprehensive ocean atmosphere dataset,5
census bureau s american community survey,5
business research development and innovation survey,5
annual survey of manufactures,5
longitudinal research database,5
postsecondary education transcripts study,5
beginning postsecondary students longitudinal study survey,5
postsecondary student study,5
teacher transcript study,5
study as mentioned in the previous section the schools and staffing survey,5
teacher list validation study,5
school administrator survey,5
early childhood education survey,5
youth civic involvement survey,5
beginning postsecondary students longitudinal study second follow up field test report,5
national study of student learning,5
national student loan data system data,5
national longitudinal study of the high,5
public school survey,5
education national center for education statistics national postsecondary student aid study,5
telephone survey department,5
definite postdoctoral study and seeking postdoctoral study,5
survey first look,5
common core of data and the schools and staffing survey,5
major field of study,5
bureau s current population survey,5
national postsecondary education cooperative sample survey,5
survey of research and development expenditures,5
center for science and engineering statistics national science foundation survey of graduate,5
completions survey national center for science and engineering statistics national science foundation,5
survey of earned doctorates the survey of doctorate recipients the national survey,5
faculty salary survey,5
residential energy consumption survey,5
incorporated research institutions for seismology data,5
survey national earthquake information center,5
irrigated agriculture dataset,5
coronaviridae study group of the international committee on taxonomy,5
base year study,4
national education longitudinal study education longitudinal study and early childhood longitudinal study,4
youth development study,4
german socio economic panel study,4
child development supplement to the panel study of income dynamics,4
national longitudinal study of freshman and the national education longitudinal study,4
michigan study of adolescent life transitions,4
freshman survey and the national survey of hispanic students,4
eight year study,4
fragile families study,4
national longitudinal study of schools,4
national education longitudinal study goldsmith,4
north atlantic comprehensive coastal study,4
infogroup employer database,4
southwest university adult lifespan dataset,4
northern manhattan study,4
kuopio ischemic heart disease risk factor study,4
early treatment diabetic retinopathy study,4
cleveland family study,4
jackson heart study,4
london life sciences prospective population study,4
health aging and body composition study health,4
human mortality database,4
new england centenarian study,4
louisiana healthy aging study,4
ischemic stroke study,4
augmented baltimore longitudinal study of aging,4
baltimore longitudinal study on aging in section,4
health in men study,4
national heart lung and blood institute growth and health study,4
arizona study of aging and neurodegenerative disorders,4
proteome wide association study,4
religious order study and rush memory and aging project,4
japan society for the study of obesity,4
item short form health survey,4
moss aphasia psycholinguistics project database,4
whereas the moss aphasia psycholinguistics project database,4
university of michigan s institute for survey research,4
school nutrition and dietary assessment study,4
survey of recent college graduates,4
march current population survey,4
farm costs and returns survey data,4
american housing survey,4
quarterly agricultural survey,4
bureau of labor statistics consumer expenditure survey,4
emergency events database,4
university of michigan s survey research center,4
local education agency school district finance survey,4
core of common data,4
educational systems dataset,4
survey of federal funds,4
national science foundation in the survey of doctorate recipients,4
national survey of college graduates hunter and gauthier loiselle,4
baltimore longitudinal study of aging resnick,4
health and lifestyle survey,4
strong heart study,4
baltimore longitudinal study of aging newby,4
european group for the study of insulin resistance,4
zutphen elderly study,4
survey of health ageing and retirement in europe,4
perindopril protection against recurrent stroke study,4
framingham eye study,4
oregon brain aging study,4
european social survey,4
british household panel study,4
national health and nutrition examination survey data,4
family and child experiences study,4
household food security survey module,4
national early intervention longitudinal study,4
australia the longitudinal study of australian children,4
national children s study,4
early childhood longitudinal survey kindergarten cohort,4
chicago longitudinal study,4
study of instructional improvement,4
national survey on drug use and health,4
national bioscience database center tokyo japan,4
religious orders study and the memory and aging project,4
cardiovascular health study cognition study,4
religious orders study memory and aging project,4
kyoto encyclopedia of genes and genomes data,4
cache county dementia progression study,4
washington university adult children study,4
alzheimer s disease cooperative study prevention instrument study,4
baltimore longitudinal aging study,4
carnegie mellon survey,4
mayo clinic study,4
lightning memory mapped database,4
codon usage database,4
heinz nixdorf recall study,4
thematically organized psychosis study,4
multi site collaborative study for genotype phenotype associations in alzheimer s disease,4
alzheimer s study group,4
database of genomic variants,4
database for autism research,4
magnetic resonance imaging data,4
saguenay youth study,4
melbourne healthy aging study,4
multidisciplinary approach to the study of chronic pelvic pain,4
transcription wide association study,4
digital database for screening mammography,4
longitudinal cohort study,4
cache county study on memory in aging,4
behavioral risk factor surveillance survey,4
vietnam era twin study of aging,4
survey of graduate students and postdocs,4
trends in international mathematics and science study mullis,4
world values survey,4
teacher education and development study,4
learning to read survey,4
united states geologic survey,4
beginning postsecondary students survey,4
national pesticide use database,4
beginning post secondary survey stratton,4
current population survey day and newburger,4
education national center for education statistics beginning postsecondary students longitudinal study,4
national postsecondary study aid study,4
beginning postsecondary students longitudinal study and the national educational longitudinal study,4
baccalaureate and beyond longitudinal study first follow,4
labor department s national longitudinal survey,4
national postsecondary student aid study administrative collection,4
academic library survey,4
student record abstract the student interview and the parent survey,4
national center for education statistics national longitudinal study of the high school,4
baccalaureate and beyond longitudinal study second follow,4
baccalaureate and beyond longitudinal study methodology reports,4
overview of the baccalaureate and beyond study,4
national postsecondary student aid study sample,4
national education longitudinal study the beginning postsecondary student longitudinal study,4
completions survey and the survey of earned doctorates,4
survey of earned doctorates figure,4
postsecondary student longitudinal study,4
educational research information center data,4
labor and department of education study,4
national survey of children the canadian national longitudinal survey of children children,4
design for the early childhood longitudinal study,4
head start verification study,4
state student assessment database,4
commerce bureau of the census current population survey october,4
survey day and make,4
high school and beyond survey data,4
base year parent survey,4
census current population survey,4
warren jenkins and kulick study,4
breeding bird survey,4
national land use dataset,4
kansas biological survey,4
higher education general education information survey,4
survey of student engagement,4
beginning college survey of student engagement,4
according to the national center for special education research survey,4
postsecondary education transcript survey,4
baccalaureate and beyond longitudinal study data,4
federal funds survey,4
federal funds survey data,4
locality pay survey,4
the international mathematics and science study,4
quarterly services survey,4
national transit database,4
survey of federal funds for research and development,4
national survey of doctorate recipients,4
national academy of sciences study,4
international survey of doctorate recipient,4
survey of earned degrees,4
international survey of doctoral recipients,4
international passenger survey,4
daily tracking survey,4
national health interview survey behavioral risk factor surveillance system youth risk behavior,4
surveillance system national survey for family growth and national crime victimization survey,4
survey on careers of doctorate holders,4
canadian survey of earned doctorates the danish survey,4
natural sciences and the italian survey,4
survey of doctorate recipients in the united states,4
german brain drain brain gain survey on international job careers,4
national long term care survey,4
national education longitudinal study baccalaureate and beyond longitudinal study national longitudinal survey,4
beginning postsecondary students longitudinal study the high school and beyond study,4
national longitudinal survey of the labor market experience of youth,4
national education longitudinal study bailey kienzl marcotte national assessment of vocational education,4
california community college career technical education employment outcomes survey,4
farm labor survey,4
cropping practices survey,4
united states geological survey the canadian wildlife service,4
national biomass and carbon dataset,4
survey bird banding laboratory,4
survey patuxent wildlife research center,4
therapeutic target database,4
open research dataset wang,4
analysis research database,4
global initiative on sharing all influenza data data,4
global initiative for sharing all influenza data,4
coronavirus study group of the international committee on taxonomy of viruses,4
virus pathogen database and analysis resource,4
beginning postsecondary studentn longitudinal study,3
postsecondary education transcript study adelman daniel berkovits,3
beginning postsecondary students dataset,3
national study of college experience,3
panel national forum on education statistics national governors association special study panel,3
special study panel on education indicators,3
education goals panel national forum on education statistics special study panel,3
education longitudinal study early childhood longitudinal studies,3
national youth survey,3
transition to adulthood survey,3
transition to adulthood study,3
national health interview survey byrd weitzman auinger,3
early childhood longitudinal study and the national education longitudinal study,3
eight year study chamberlin chamberlin drought scott,3
school mathematics study group,3
eight year study and the life adjustment,3
national compensation survey,3
national longitudinal survey of youth high school and beyond national education longitudinal,3
census current population survey panel survey of income dynamics,3
children and young adults survey,3
beyond and the national education longitudinal study,3
careers after higher education european research survey,3
vital statistics and the national survey of adolescent health add health,3
longitudinal study of adolescent health add health,3
health and the early childhood longitudinal survey,3
center for advanced study in the behavioral sciences,3
national employer survey,3
project on human development in chicago neighborhoods study,3
national academies study of teacher preparation programs,3
study of teacher preparation programs teacher,3
public use microdata survey,3
organizational practices survey,3
protection study commission,3
national household travel survey,3
survey national elevation dataset,3
genes affecting stroke risk and outcomes study,3
research domain criteria database,3
national database for clinical trials,3
molecular signals database,3
scanning hydrographic operational airborne lidar survey,3
baltimore eye survey,3
barbados incidence study of eye diseases,3
krimpen and baltimore longitudinal study of aging,3
nurses health study and the women s health initiative,3
nurses health study and the health professionals follow,3
framingham cohort study,3
johns hopkins university brain resource center and baltimore longitudinal study of aging,3
stanford microarray database,3
beaver dam offspring study,3
diabetes epidemiology collaborative analysis of diagnostic criteria in europe study,3
lung health study,3
tecumseh community health study,3
religious orders study wilson,3
monongahela valley independent elders survey,3
finnish twin cohort study,3
georgia centenarian study,3
european association for the study of diabetes,3
atherosclerosis risk in communities neurocognitive study,3
general practice research database in the united kingdom,3
medical research council national survey of health and development,3
hunter community study,3
ischemic stroke genetics study,3
alpha tocopherol beta carotene cancer prevention study,3
berlin initiative study,3
framingham study offspring,3
national survey of health and development,3
duke longitudinal study,3
lyon diet heart study,3
baltimore longitudinal study of aging ruggiero,3
veterans affairs normative aging study,3
seattle longitudinal study,3
database for genotypes and phenotypes,3
current population survey march supplement,3
national center for education statistics survey,3
national high school athletic participation survey,3
national federation of high schools athletic participation survey,3
national center for education statistics school survey on crime and safety,3
baccalaureate beyond longitudinal study,3
national postsecondary student aid study and the beginning postsecondary students longitudinal study,3
survey administration manual,3
dairy production practices and costs and returns report agricultural resource management survey,3
international survey of herbicide resistant weeds,3
agricultural resource management survey dairy costs and returns report,3
farm costs and return survey,3
north american soil moisture database,3
school associated violent death study,3
tropical rainfall measuring mission data,3
database for investigating engineering longitudinal development,3
national survey of student engagement annual report,3
national indian education study stancavage,3
adult literacy and life skills survey,3
social security administration and the survey of earned doctorates,3
survey of graduate students postdoctorates in science and engineering,3
early childhood longitudinal survey kindergarten,3
national science foundation survey,3
life sciences graduate student survey,3
survey of earned doctorates and the survey of graduate students and postdoctorates,3
survey of graduate students and postdoctorates in science engineering and health,3
national institute on aging s baltimore longitudinal study of aging,3
swedish adoption twin study of aging,3
health survey for england,3
women s health initiative study of cognitive aging,3
national health and nutrition survey,3
sacramento area latino study on aging,3
baltimore longitudinal study of ageing,3
canadian community health survey,3
scottish mental survey,3
baltimore longitudinal study of aging carter,3
kronos early estrogen prevention study,3
short form health survey,3
general practice research database,3
national population health survey,3
honoluluasia aging study,3
framingham heart study the east boston senior health project the chicago health,3
aging project the mayo clinic study of aging the baltimore longitudinal study,3
aging and the aging demographics and memory study,3
cardiovascular health cognition study,3
world value survey,3
baltimore longitudinal study of aging autopsy program,3
cognition and diabetes in older tasmanians study,3
gingko evaluation of memory study,3
study on cognition and prognosis in the elderly,3
united states the early childhood longitudinal study birth cohort,3
childhood longitudinal study kindergarten cohort,3
early childhood longitudinal study kindergarten cohort data,3
national maternal and infant health survey,3
food security survey module,3
school health policies and practices survey,3
birth cohort of the early childhood longitudinal study,3
early childhood longitudinal survey kindergarten class,3
national survey of america s families,3
social skills rating scale in the early childhood longitudinal study kindergarten cohort,3
flourishing children study,3
behavior problems index in the national longitudinal survey of youth,3
nationwide food consumption survey,3
early childhood longitudinal study the longitudinal study of american youth,3
national educational longitudinal study hedges and hedberg,3
national school effectiveness study,3
national bioscience database center human database japan research,3
roche study protocol,3
sunnybrook dementia study,3
alzheimer s disease neuroimaging database,3
forest laboratories and the institute for the study of aging,3
national database for longitudinal studies,3
neuroimaging analysis lab center for the study of human cognition university,3
comparative toxicogenomics database,3
korean brain aging study for the early diagnosis and prediction,3
queensland twins imaging study,3
international genomics of alzheimer s project study,3
san antonio family heart study,3
alzheimer s disease big data,3
karolinska imaging dementia study,3
name that dataset,3
multi site collaborative study for genotype,3
rush university religious orders study memory and aging project,3
memory and ageing study,3
malm diet and cancer study,3
mayo clinic study of aging in olmsted county minnesota,3
national database for autism research,3
rotterdam scan study ikram,3
mayo clinic study on aging,3
alzheimer s disease cooperative study activities of daily living scale,3
malm diet cancer study,3
individual patient data,3
european school survey project on alcohol and drugs,3
parkinson s associated risk study,3
multimodal connectivity database,3
national science foundation s survey of graduate students and postdocs,3
international study centre,3
british geological survey,3
early education longitudinal study,3
international civic and citizenship education study,3
emission database for global atmospheric research,3
optimum interpolation sea surface temperature data,3
unified database for arctic and subarctic hydrography,3
protected areas database of the united states,3
early career doctorates survey,3
national survey of college graduates the national survey of recent college graduates,3
comprehensive ocean atmosphere dataset,3
nutrition environment measurement survey,3
national comorbidity survey replication,3
census american community survey,3
health and retirement study data,3
national survey of substance abuse treatment services,3
cost quality and outcomes study,3
beginning postsecondary students longitudinal study first followup,3
tuition discounting survey,3
third international mathematics and science study the national center for education statistics,3
postsecondary students longitudinal study field test methodology report,3
institutional prices and student financial aid survey,3
study field test methodology report technical report,3
council for the study of community colleges,3
pell institute for the study of opportunity in higher education pell institute,3
national survey of drug use and health,3
baccalaureate and beyond longitudinal study first followup,3
study of nontraditional undergraduates washington,3
institutional characteristics survey of the integrated postsecondary education data system,3
national student loan survey,3
teacher demand and shortage survey,3
education s survey of degrees and other formal awards conferred,3
national science foundation division of science resources studies survey of earned doctorates,3
education national center for education statistics early childhood longitudinal study birth cohort,3
common core of data public elementary secondary school universe survey,3
common core of data and the private school universe survey,3
administrator and teacher survey,3
avoid common survey errors,3
survey of scientific and engineering expenditures,3
education national center for education statistics school survey on crime and safety,3
second international math study,3
safe schools study,3
base year first follow up and high school transcript study,3
national education longitudinal study and the national assessment of educational progress,3
statistics early childhood longitudinal study kindergarten class,3
assessment of educational progress national education longitudinal study,3
school survey on crime and safety questionnaire,3
main study national supplement,3
storm surge hazard database,3
national ocean survey,3
national geophysical data center tsunami database,3
tsunami database figure,3
national geophysical data center tsunami database june,3
gridded soil survey geographic,3
state soil geographic database,3
united states national land cover database,3
integrated post secondary education database system,3
survey of graduate enrollment and degrees,3
canadian labour force survey,3
innovation survey higher education,3
survey survey of federal funds,3
expenditures survey and survey of state government,3
universities and colleges survey,3
survey of research and development funding and performance,3
national survey of college graduates data,3
kauffman firm survey data,3
child survey age bin start,3
faculty shortage study smith,3
survey of earned doctorates and the survey of doctorate recipients to understand,3
source survey of earned doctorates,3
global survey of physicists,3
adult education and training survey,3
annual population survey,3
labor force survey data,3
national graduates survey,3
survey of colleges and institutions,3
national science foundation s survey of earned doctorates and the survey,3
survey of earned doctorates doctorate records file national science foundation,3
survey merged outgoing rotation,3
survey of doctorate more,3
name description survey of earned doctorates,3
institutional characteristics survey,3
united states the survey of doctorate recipients,3
survey of changes in faculty retirement policies,3
faculty salary survey data,3
survey of industrial research development,3
european union s community innovation survey,3
census bureau s longitudinal business database and census of manufacturers the national,3
science foundation s survey of industrial research and development,3
beginning school study entwisle,3
minnesota study of risk and adaptation sroufe egeland carlson collins,3
national longitudinal studies the national youth survey high school and beyond,3
agricultural market access database,3
costs and returns survey,3
certified organic production survey,3
wisconsin scholars longitudinal study,3
census bureau american community survey,3
agricultural health study,3
national interagency fire management integrated database,3
marine recreational fishery statistics survey,3
bottom trawl survey,3
national longitudinal study of adolescent and adult health add health,3
national education longitudinal study the education longitudinal study,3
breeding bird survey sauer,3
interior geological survey,3
national woodland owner survey,3
north american breeding bird survey and the christmas bird count,3
north american breeding bird survey robbins,3
north american breeding bird survey bystrak,3
waterfowl breeding population and habitat survey,3
world database on protected areas,3
coastal observation and seabird survey team,3
breeding bird survey robbins,3
global initiative on sharing all influenza database,3
allele frequency net database,3
national longitudinal survey of the youth,2
high school effectiveness study sample,2
hispanic center national survey of latinos education,2
national center for education statistics national education longitudinal study,2
national study of postgraduate faculty,2
center for education statistics national education longitudinal study,2
using the national education longitudinal study,2
base year survey and the first follow up survey,2
tobacco use supplements of the current population survey,2
national longitudinal survey on youths,2
high school effectiveness supplement of the national education longitudinal study,2
school dropout demonstration assistance program and for the national education longitudinal study,2
explorations in equality of opportunity study alexander eckland griffin,2
wisconsin study sewell hailer portes,2
educational testing service s growth study hilton beaton bower,2
national longitudinal survey of labor market experience of youth,2
prospects the congressionally mandated study of educational growth and opportunity,2
national longitudinal survey of youth hotz,2
chinese educational panel survey,2
national longitudinal survey of youth children and young adults in america jaeger,2
china education panel study,2
national survey research center,2
high school transcript study niemi and smith,2
high school transcript study data,2
schools and staffing survey fitchett and heafner,2
national education longitudinal study hart,2
department of education national education longitudinal study,2
national education longitudinal study long,2
department of education s national education longitudinal study,2
national survey of family growth hogan,2
source children of the national longitudinal survey of youth,2
source national education longitudinal study,2
source the tobacco use supplement to the current population survey,2
national health interview survey child health supplement,2
high school and beyond and the national education longitudinal study,2
